Restaurant name,Contacted about Rewards,Offer delivery/takeout during forced closure,Contact Email,Website,Last Contact Date,POC,Location,Restaurant Group,Type of Service,Contact Name,Decison Maker,Decision Maker's Phone,Visited (old),Emailed,Had Interview,Interested,Signed contract,Phone #,"Has loyalty 
or rewards?",Best time to call,Address
Adobe Gilas,,,,,,,Old Town,,,,,,,,,,,,,,
Adobo Grill,y,,karina@davinci-group.com,https://www.adobogrill.davinci-group.com/,02/21/20,Dan,,,FS,,,,,,,,,,,,
Agami,y,,Contact Form,https://www.agamisushi.com/,02/21/20,Dan,Uptown,,FS,,,,,,,,,,,,
Aje Cafe,,,,,,,Lake View,,CS,,,,,,,,,,,,
Al's Italian Beef,y,,Contact Form,https://www.alsbeef.com/,02/21/20,Dan,,,CS,,,,,,,,,,,,
Alegrias Seafood,,,,,,,West Town,,,,,,,,,,,,,,
Alexander’s Restaurant,,,,,,,Edgewater,,,,,,,,,,,,,,
Ali Baba Doner,,,,,,,Lincoln Park,,CS,,,,,,,,,,,,
Alice & Friends’ Vegan Kitchen,y,,Contact Form,http://aliceandfriendsvegankitchen.com/,02/21/20,Dan,Edgewater,,FS,,,,,,,,,,,,
Allende Restaurant,,,,https://www.yelp.com/menu/allende-restaurant-chicago,,,Lincoln Park,,CS,,,,,,,,,,,,
Allgauer's,,,,https://www3.hilton.com/en/hotels/illinois/hilton-chicago-northbrook-CHINBHF/dining/index.html,,,Northbrook,,FS,,,,,,,,,,,,
Alliance Bakery & Cafe,,,,,,,Wicker Park,,CS,,,,,,,,,,,,
Aloha,,,,,,,,,,,,,,,,,,,,,
Amarind's,y,,info@amarinds.com,https://www.amarinds.com/,02/21/20,Dan,,,FS,,,,,,,,,,,,
Amaru,y,,rcuadros@amaruchicago.com,https://www.yelp.com/biz/amaru-chicago,,Jake,Wicker Park,,FS,Rodolfo,Rodolfo,,y,y,y,y,,,,,
Ambrosia Cafe,,,,https://www.yelp.com/biz/ambrosia-caf%C3%A9-chicago-3,,,,,,,,,,,,,,(773) 404-4450,,,
Amerikas,y,,info@amerikasrestaurant.com,https://amerikasrestaurant.com/,02/15/20,Dan,Oak Park,,FS,,,,,,,,,,,,
Andersonville Brewing Co,,,,,,,Andersonville,,,,,,,,,,,,,,
Andiamo Pizzaria,,,,https://www.yelp.com/biz/andiamo-pizzaria-chicago,,,,,,,,,,,,,,,,,
Andies Restaurant,,,,,,,Andersonville,,,,,,,,,,,,,,
Andy's Thai Kitchen,y,,info@andysthaikitchen.com,https://andysthaikitchen.com/,02/15/20,Dan,,,FS,,,,,,,,,,,,
Angelina Ristorante,,,Unlisted,https://www.angelinaristorante.com/,,,Lake View,,FS,,,,n,,,,,,,,
Ann Sather Restaurant,y,,adolfo@annsather.com,http://www.annsather.com/,02/15/20,Dan,Lake View,,FS,,,,y,,,,,(773) 348-2378,,,
Anteprima,y,,Contact Form,https://www.anteprimachicago.net/,02/21/20,Dan,,,FS,,,,,,,,,,,,
Antico Posto,y,,Contact Form,https://www.antico-posto.com/,02/21/20,Dan,,,FS,,,,,,,,,,,,
Antique taco,y,,info@antiquetaco.com,,03/04/20,Jake,,,CS,Ashley,,,,,,,,,,,
Apogee,,,,,,,,The Fifty/50 Group,,,,,,,,,,,,,
Arami,y,,info@aramichicago.com,https://www.aramichicago.com/,02/21/20,Dan,,,FS,,,,,,,,,,,,
Arbella,y,,info@arbellachicago.com,https://arbellachicago.com/,02/15/20,Dan,,,FS,,,,,,,,,,,,
Arbor,y,,catering@arborprojects.om,http://www.arborprojects.com/,02/15/20,Dan,,,FS,,,,,,,,,,,,
Argo Tea,y,,monte.managerpan@teamembers.com,,03/01/20,Jake,River North,,CS,Monte,,,,,,,,,,,
Artango Bar & Steakhouse,y,,Contact Form,http://artangosteakhouse.com/,02/15/20,Dan,Uptown,,FS,,,,,,,,,,,,
Artifact Events,y,,info@artifacteventschicago.com,https://www.artifacteventschicago.com/,02/21/20,Dan,,Atomic,,,,,,,,,,,,,
Artopolis Bakery Cafe & Agora,y,,Contact Form,http://artopolischicago.com/,02/15/20,Dan,Greektown,,CS,,,,,,,,,,,,
Asian Cajun,,,Unlisted,https://asiancajunrestaurant.com/,,,Lincoln Park,,FS,,,,,,,,,,,,
Asian Outpost,y,,asianoutpost60605@gmail.com,https://www.asian-outpost.com/,02/21/20,Dan,,,FS,,,,,,,,,,,,
Athena Greek Restaurant,,,Contact Form (broken),http://www.athenarestaurantchicago.com/,,,,,FS,,,,n,,,,,(312) 655-0000,n,,
Athenian Room,,,,https://www.yelp.com/biz/athenian-room-chicago,,,Lincoln Park,,FS,,,,,,,,,,,,
Atlantic Grill,,,,,,,,Landry's,,,,,,,,,,,,,
Atwood,,,Unlisted,https://atwoodrestaurant.com/,,,,,,,,,,,,,,,,,
Au Cheval,y,,contact@auchevalchicago.com,http://auchevaldiner.com/,,Jake,,,FS,,,,,,,,,(312) 929-4580,,10am-1am,
Aunty Joy’s Jamaican Kitchen,y,,Contact Form,http://auntyjoys.com/our-menus/,02/15/20,Dan,Edgewater,,CS,,,,y,,,,,,,,
Aurelio’s Pizza South Loop,y,,Contact Form,https://www.aureliospizza.com/location/chicago-south-loop/,02/15/20,Dan,,Franchise,,,,,y,,,,,(312) 374-4459,,,
Autre Monde Cafe & Spirits,y,,info@autremondecafe.net,https://autremondecafe.net/,02/15/20,Dan,Colombus Park,,FS,,,,,,,,,,,,
Avec,y,,info@avecrestaurant.com,http://www.avecrestaurant.com/,02/24/20,Jake,,OneOff,,,,,,,,,,(312) 377-2002,,11:30am-12am,
Avenue Ale House,y,,restaurant@avealehouse.com,https://avealehouse.com/contact,02/22/20,Dan,,,FS,,,,,,,,,,,,
Avli Taverna,y,,info@avli.us,http://www.avli.us/,02/15/20,Dan,Lincoln Park,,FS,,,,,,,,,,,,
Awash Ethiopian Restaurant,y,,abelnigussie2001@yahoo.com,https://www.awashethiopianrestaurant.com/menu,02/21/20,Dan,Edgewater,,FS,,,,,,,,,,,,
Ay Ay Picante,,,,,,,Albany Park,,,,,,,,,,,,,,
Azucar Tapas Restaurant & Cocktail Bar,,,,https://www.yelp.com/biz/azucar-tapas-restaurant-and-cocktail-bar-chicago,,,,,FS,,,,,,,,,,,,
Ba Le Sandwich,,,,,,,Uptown,,,,,,,,,,,,,,
Babin's,,,,,,,,Landry's,,,,,,,,,,,,,
Bacchanalia,,,Dead website,http://www.bacchanaliainchicago.com/,,,,,FS,,,,,,,,,,,,
Bacino’s,,,Unlisted,https://www.bacinosoflincolnpark.com/,,,Lincoln Park,,FS,,,,,,,,,,,,
Backlot Coffee,,,,,,,Irving Park,,CS,,,,,,,,,,,,
Bad Hunter,y,,myoung@badhunter.com,https://www.heislerhospitality.com/bad-hunter,02/24/20,Jake,,Heisler,,,,,,,,,,,,,
Badou Senegalese Cuisine,y,,Contact Form,http://badousenegalesecuisine.com/,02/15/20,Dan,Rogers Park,,FS,,,,,,,,,,,,
Bakin’ & Eggs,y,,contact@bakinandeggschicago.com,http://www.bakinandeggschicago.com/,02/15/20,Dan,Lake View,,CS/FS,,,,,,,,,(773) 525-7006,,,
Bandera,y,,logan.bushman@hillstone.com,https://banderarestaurants.com/locations/chicago/,02/15/20,Dan,,,FS,,,,y,,,,,(312) 644-3524,,11:30am-10pm,
Bandit,y,,steve@banditliquors.com,https://www.banditliquors.com/,02/21/20,Jake,West Loop,DineAmic,FS,,,,,,,,,,,,
Bang Bang Pie Shop,y,,HELLO@BANGBANGPIE.COM,http://www.bangbangpie.com/,02/15/20,Dan,,,CS,,,,,,,,,,,,
Bangers & Lace,y,,Contact Form,http://www.bangersandlacechicago.com/,02/21/20,Dan,,Footman,FS,,,,,,,,,,,,
Banko Cantina,,,,,,,,Third Coast,,,,,y,,,,,,,,
Baobab Bbq,,,,,,,Near Norrth Side,,,,,,,,,,,,,,
Bar Biscay,y,,jen@kinshipcompany.com,https://www.barbiscay.com/,02/21/20,Dan,Noble Square,,FS,,,,,,,,,,,,
Bar Cargo,y,,aprekurat@stefanigroup.com,https://www.barcargo.com/,02/21/20,Jake,,Stefani,,,,,,,,,,,,,
Bar Ida,,,,,,,,Turnkey Hospitality,,,,,,,,,,,,,
Bar Ramone,,,,https://www.barramone.com/,,,,LEYE,,,,,y,,,,,,LEYE,,
Bar Roma,y,,info@barromachicago.com,https://www.barromachicago.com/,02/24/20,Jake,,,FS,,,,,,,,,,,,
Bar Siena,y,,info@barsiena.com,https://www.barsiena.com/,02/21/20,Dan,,DineAmic,,Dani,,,,,,,,(312) 492-7775,,,
Bar Sótano,,,,,,,,Rick Bayless,,,,,,,,,,,,,
Bar Takito,y,,wesley@bartakito.com,http://bartakito.com/,02/25/20,Jake,,,FS,,,,n,,,,,,,,
Barcocina,,,,,,,Lake View,,,,,,,,,,,,,,
Bari,,,,,,,Noble Square,,,,,,,,,,,,,,
Barrio,y,,Contact Form,https://barriochicago.com/,02/15/20,Dan,,DineAmic,,,,,,,,,,,,,
BarTucci,,,,,,,Dunning,,,,,,,,,,,,,,
Basil Leaf Cafe,y,,Contact Form,https://www.basilleaf.com/,02/21/20,Dan,,,,,,,,,,,,,,,
Bassment,,,,,,,,Parker Restaurant Group,,,,,,,,,,,,,
Batter & Berries,y,,info@batterandberries.com,https://batterandberries.com/,02/19/20,Dan,,,,,,,,,,,,,,,
Beacon Tavern,y,,requests@beacontavern.com,http://beacontavern.com/,02/15/20,Dan,,Gage Hospitality Group,,,,,n,,,,,,,,
Beatnik on the River,y,,Contact Form,https://www.beatnikchicago.com/,02/21/20,Dan,,BonHomme,FS,,,,n,,,,,,,,
Beatrix,n,,Contact Form,https://www.beatrixrestaurants.com/,,,,LEYE,FS,Cara,,,y,,,,,(312) 733-0370,LEYE,7am-10pm,
Beaumont,y,,Contact Form,http://beaumontchicago.com/,02/15/20,Dan,,,,,,,,,,,,,,,
BEAUTY BAR,,,,,,,,16 on center,,,,,,,,,,,,,
Bella Bacino's,,,,https://www.tripadvisor.com/Restaurant_Review-g35805-d427811-Reviews-Bella_Bacino_s-Chicago_Illinois.html,,,,,FS,,,,,,,,,,,,
Bella Luna Cafe,,,Dead website,http://www.bellalunacafechicago.com/,,,,,,,,,,,,,,,,,
Bellemore,,,Unlisted,https://www.bellemorechicago.com/,,,,Boka Restaurant Group,,,,,,,,,,,,,
Bellwater,y,,Contact Form,http://www.bellwetherchicago.com/,02/15/20,Dan,,,,,,,,,,,,,,,
Belmont Snack Shop,,,,https://www.yelp.com/biz/belmont-snack-shop-chicago-2,,,,,,,,,,,,,,,,,
Ben’s Noodles and Rice,y,,Contact Form,http://www.bensnoodlesandrice.com/,02/15/20,Dan,Edgewater,,CS,,,,,,,,,,,,
Benny's Chop House,y,,mitchell@bennyschophouse.com,http://www.bennyschophouse.com/,02/15/20,Dan,River North,,FS,,Mitchell Shmieding,,"y, g",,,,,(312) 626-2444,,,
Bernie's Tap & Grill,y,,Contact Form,https://bernieschicago.com/,02/15/20,Dan,Lake View,,FS,,,,y,,,,,(773) 525-1898,,,
Bibibop,y,,hugoperez420@gmail.com,,03/08/20,Jake,,,CS,Hugo,,,,,,,,,,,
Bibim Town,,,,,,,Edgewater,,CS,,,,,,,,,,,,
Bien Trucha,y,,Contact Form,https://www.bientrucha.com/,02/21/20,Dan,,,FS,,,,,,,,,(630) 232-2665,,,
BienMeSabe,y,,bienmesabechicago@gmail.com,,02/11/20,,,,FS,,,,,,,,,,,,
BIG & little’s Restaurant,y,,edk.bigandlittles@gmail.com,,02/26/20,Jake,Wicker Park,,CS,,,,y,y,y,y,,,,,
Big Bowl,n,,Contact Form,https://www.bigbowl.com/chicago/,,,,LEYE,,,,,y,,,,,,LEYE,,
Big Jones,y,,bigjones@bigjoneschicago.com,https://bigjoneschicago.com/,02/15/20,Jake,Andersonville,,FS,,,,n,,,,,(773) 275-5725,,,
Big Shoulders Coffee,y,,emily@bigshoulderscoffee.com,,03/01/20,Jake,River North,,CS,Emily,,,,,,,,,,,
Big Star,y,,ryanccourtney@bigstarchicago.com,http://www.bigstarchicago.com/,02/22/20,Jake,,,FS,,,,,,,,,,,,
Big Star Wrigleyville,,,Unlisted,http://www.bigstarchicago.com/wrigleyville,,,,OneOff,,,,,,,,,,,,,
Bijan’s Bistro,,,,,,,Near North Side,,,,,,,,,,,,,,
Bill’s Bar and Burgers,,,Unlisted,https://www.billsbarandburger.com/hours-and-locations/,,,,Landry's,,,,,n,,,,,,,,
Billy Goat Tavern & Grill,y,,Contact Form,https://www.billygoattavern.com/,02/15/20,Dan,The Loop,Boka Restaurant Group,CS/FS,,,,y,,,,,,,,
Billy Sunday,y,,Contact Form,https://www.billy-sunday.com/,02/21/20,Dan,Logan Square,Folkart Management,,,,,y,,,,,,,,
Birch River Grill,,,Unlisted,https://www.birchrivergrill.com/,,,Arlington Heights,,FS,Cathy,Mike,,n,,,,,,,,
Birrieria Zaragoza,y,,Contact Form,http://www.birrieriazaragoza.com/,02/15/20,Dan,Archer Heights,,FS,,,,,,,,,,,,
Bistro 6050,,,,,,,Dunning,,CS,,,,,,,,,,,,
Bistro Campagne,y,,bistrocampagne@gmail.com,https://www.bistrocampagne.com/,02/21/20,Dan,,,FS,,,,n,,,,,(773) 271-6100,,,
Bistronomic,,,,,,,,LM Restaurant Group,,,,,,,,,,,,,
Bite Cafe,y,,info@16oncenterchicago.com ,https://bitecafechicago.com/,02/15/20,Dan,,16 on center,FS,,,,,,,,,(773) 395-2483,,,
Bites Asian Kitchen + Bar,y,,info@biteskitchen.com,https://biteskitchen.com/,02/15/20,Dan,,,FS,,,,,,,,,,,,
Bittersweet Pastry Shop,,,,,,,Lake View,,CS,,,,,,,,,,,,
Black Dog Gelato,,,,,,,,,CS,,,,,,,,,,,,
Blackbird,,,,,,,,OneOff,,,,,,,,,,,,,
Blackwood BBQ,,,,,,,,,CS,,,,,,,,,(312) 621-9663,"y, punch card",,
Blind Dragon,y,,CHICAGO@BLINDDRAGON.COM,https://blinddragon.com/chicago/,02/15/20,Dan,,,,,,,n,,,,,,,,
Blind Faith Cafe,y,,Contact Form,https://www.blindfaithcafe.com/,02/21/20,Dan,,,CS/FS,,,,,,,,,,,,
Bloom & Bee,,,,,,,,Landry's,,,,,,,,,,,,,
Blowfish Contemporary Sushi,,,,https://www.yelp.com/biz/blowfish-contemporary-sushi-chicago-3,,,Edgewater,,FS,,,,,,,,,,,,
Blowing Smoke BBQ,y,,support@blowingsmokebbq.com,,03/06/20,Jake,,,,Brian,,,,,,,,,,,
Blue Agave Tequila Bar & Restaurant,y,,Samantablueagave@gmail.com,,,Jake,Near North Side,,FS,,,,,,,,,,,,
Blue Agave TequilaBar & Restaurant,,,Unlisted,https://www.blueagavechicago.com/,,,Lincoln Park,,FS,,,,,,,,,,,After 5pm,
Blue Chicago,y,,blues@bluechicago.com,http://www.bluechicago.com/,02/15/20,Dan,,,FS,,,,,,,,,,,,
Blue Door,y,,Contact Form,https://bluedoorkitchenchicago.com/,02/15/20,Dan,,,,,,,,,,,,,,,
Blue Door Farm Stand,y,,Contact Form,https://bluedoorfarmstand.com/,02/15/20,Dan,,,FS,,,,,,,,,,,,
Blue Fin Japanese Restaurant,,,,https://www.yelp.com/biz/blue-fin-sushi-bar-chicago,,,,Landry's,FS,,,,,,,,,,,,
Blue Line Lounge & Grill,y,,Bluelineloungeandgrill@gmail.com,http://www.bluelineclubcar.com/,02/15/20,Dan,Wicker Park,,FS,,,,,,,,,,,,
Blue Ridge,,,,,,,Park Ridge,,,,,,,,,,,,,,
Bob Chinn's Crab House,y,,info@bobchinns.com,https://www.bobchinns.com/,02/21/20,Dan,,,FS,,,,,,,,,,,,
Bob’s Pizza,y,,info@famousbobspizza.com,https://www.famousbobspizza.com/,02/22/20,Dan,Pilsen,,FS,,,,,,,,,,,,
Boba Burger,y,,bobaburgercompany@gmail.com,http://boba-burger.letseat.at/menu,02/15/20,Dan,Morton Grove,,FS,,,,,,,,,,,,
Bobby's Deerfield,y,,Contact Form,http://bobbysdeerfield.com/,02/15/20,Dan,Deerfield,Bobby's,FS,,,,,,,,,,,,
Bodega,,,,,,,,The Fifty/50 Group,,,,,,,,,,,,,
Bodhi Thai Bistro,y,,Contact Form,https://www.bodhithaichicago.com/,02/21/20,Dan,,,FS,,,,,,,,,,,,
Boeufhaus,y,,info@boeufhaus.com,http://www.boeufhaus.com/,02/15/20,Dan,,,CS/FS,,,,,,,,,,,,
Boiler Room,y,,boilerroomchicago@gmail.com,https://www.boilerroomlogansquare.com/,02/21/20,Dan,,,FS,,,,n,,,,,,,,
Bombay Wraps - Lakeway,y,,info@bombaywraps.com,,02/25/20,Jake,,Small Chain,CS,,Ali,,,,,,,,,,
Bombobar,y,,Contact Form,https://bombobar.com/,02/15/20,Dan,,DineAmic,,,,,,,,,,,,,
Bonchon,y,,Contact Form,https://bonchon.com/korean-fried-chicken-chicago-division-st-il/,02/15/20,Dan,,,FS,,,,,,,,,,,,
Bonci,y,,INFO@BONCIUSA.COM,https://bonciusa.com/,02/15/20,Dan,,,CS,,,,,,,,,,,,
Bongiorno’s,,,,,,,Near North Side,,,,,,,,,,,,,,
Bonus Round Game Cafe,,,Unlisted,https://bonusroundcafe.com/,,,,,,,,,,,,,,(773) 857-1037,,,
bopNGrill,,,clelisa.bopngrill@gmail.com,,02/24/20,Jake,Rogers Park,,,,,,,,,,,,,,
Bottled Blonde,y,,chasem@bottledblondechi.com,https://www.bottledblondepizzeria.com/chicago/,02/24/20,Jake,River North,,FS,,,,y,,,,,,,,
Bounce Sporting Club,,,Unlisted,https://www.bouncesportingclub.com/,,,,,FS,,,,,,,,,,,,
Bounmy Grill,,,,,,,,,,,,,,,,,,,,,
Bourbon on Division,y,,booking@bourbonondivision.com,http://bourbonondivision.com/,02/15/20,Dan,,,FS,,,,,,,,,,,,
Bourgeois Pig Cafe,,,,,,,Lincoln Park,,,,,,,,,,,,,,
Bozii,y,,timothy.holm@bozii.com,,03/06/20,Jake,,,CS,Tim,,,,,,,,,,,
Branko’s Sandwich Shop,,,,,,,Lincoln Park,,CS,,,,,,,,,,,,
Brazilian Bowl,y,,brazilianbowl@gmail.com,,02/25/20,Jake,,,CS,Tony,,,,,,,,,,,
Breakfast House,y,,Contact Form,http://breakfast-house.com/,02/15/20,Dan,,,,,,,,,,,,,,,
Brehon Pub,y,,Contact Form,https://www.brehonpub.com/,02/15/20,Dan,,,,,,,y,,,,,,,,
BRGRBELLY,y,,Contact Form,https://brgrbellyrestaurant.com/,02/15/20,Dan,,,CS,,,,,,,,,,,,
Brick House,,,,,,,,Landry's,,,,,,,,,,,,,
Bridgeport Restaurant,,,,https://www.yelp.com/search?find_desc=Bridgeport+Restaurants&find_loc=Chicago%2C+IL,,,Pizza Mania,,,,,,,,,,,,,,
Brightwok Kitchen,,,,,,,The Loop,,CS,,,,,,,,,,,,
Bro Bagel Bakery,y,,brobagelbakery@gmail.com,,02/22/20,Jake,Wicker Park,Small Chain,CS,,,,,,,,,,,,
Broken English Taco Pub,y,,adam@tacopub.com,https://www.tacopub.com/,02/26/20,Jake,,8 Hospitality Group,,Adam,Adam,,y,y,y,n,,,,,
Brownbag Seafood,y,,Fresh@brownbagseafood.com,,03/01/2020,,Clark,Franchise,FS/CS,,,,,,,,,,,,
Brownstone,y,,brownstonetaverngrill@gmail.com,https://www.brownstonetavern.com/,02/21/20,Dan,,,,,,,n,,,,,,,,
Bruna's Ristorante,y,,Contact Form,http://brunasristorante.com/,02/15/20,Dan,,,FS,,,,,,,,,,,,
Brunch,y,,Contact Form,https://www.brunchit.com/menu/,02/15/20,Dan,,Big Onion,,,,,y,,,,,,,,
Brunch Cafe,,,niles@brunchcafe.com,https://www.brunchcafe.com/,,,Niles,,FS,,,,,,,,,,,,
Bryn Mawr Breakfast Club,,,,,,,North Park,,,,,,,,,,,,,,
Bub City,,,bgertz@leye.com,http://bub-city.com/chicago/,,,Near North Side,LEYE,FS,Brad,,,y,,,,,,LEYE,,
Bubba Gump,,,Unlisted,https://www.bubbagump.com/locations/chicago/,,,,Landry's,,,,,n,,,,,,,,
Bucktown Pub,y,,Contact Form,http://www.bucktownpub.com/,02/15/20,Dan,Wicker Park,Footman Hospitality,,,,,,,,,,,,,
Buddy Guy’s Legends,,,,,,,South Loop,,,,,,,,,,,,,,
Buena Vista,y,,info@buenachicago.com,,02/25/20,Jake,Lake View,,,,,,,,,,,,,,
Buffalo Joe’s,,,,,,,Rogers Park,,CS,,,,,,,,,,,,
Builders BLDG,y,,Contact Form,http://buildersbuilding.com/,02/15/20,Dan,,DineAmic,,,,,,,,,,,,,
Bulerias Tapas Bar,y,,Contact Form,http://www.buleriastapas.com/,02/15/20,Dan,,,,,,,y,,,,,(773) 404-2855,,,
Buona Beef,y,,Contact Form,https://buona.com/,02/15/20,Dan,,Small chain,CS,,,,,,,,,,,,
Buona Terra,,,,,,,Logan Square,,,,,,,,,,,,,,
Burger Antics,,,,,,,Brookfield,,,,,,,,,,,,,,
Burger Bar Chicago,y,,Contact Form,http://burgerbarchicago.com/,02/15/20,Dan,,Good Eats Group,,,,,y,,,,,(312) 988-0162,,,
Burke’s Public House,,,,,,,Edgewater,,,,,,,,,,,,,,
Burrito Beach,y,,Bb4@burritobeach.com,https://burritobeach.com/,03/04/20,Jake,,,CS,,,,,,,,,,,,
Butch McGuire's,y,y,"bobby@butchmcguires.com, dominique@butchmcguires.com",https://butchmcguires.com/,03/02/20,Jake,River North,,FS,,Bobby,,y,y,y,y,y,,,,
Butcher & The Burger,,,,https://www.yelp.com/search?cflt=butcher&find_loc=chicago%2C+IL,,,,,CS,,,,,,,,,,,,
Butterfly Sushi,,,Unlisted,http://www.butterflysushi2go.com/,,,West Loop,,,,,,n,,,,,,,,
Buzz Cafe,y,,thebuzz@thebuzzcafe.com,https://thebuzzcafe.com/,02/20/20,Dan,,,CS/FS,,,,,,,,,,,,
Byron's Hot Dogs,,,Unlisted,http://www.byronschicago.com/,,,,,CS,,,,,,,,,,,,
Cabana Club,y,,contact@therobey.com,https://www.therobey.com/,02/15/20,Dan,,,FS,,,,,,,,,,,,
Cabra,y,,info@cabrachicago.com,https://www.cabrachicago.com/,02/21/20,Dan,,Boka Restaurant Group,,,,,,,,,,,,,
Cafe Ba-Ba-Reeba!,,,tmuth@leye.com,https://www.cafebabareeba.com/,,,,LEYE,FS,Teresa,,,y,,,,,(773) 935-5000,LEYE,,
Cafe Cancale,,,,,,,,OneOff,,,,,,,,,,,,,
Cafe con Leche,,,,,,,Logan Square,,,,,,,,,,,,,,
Cafe Corbel,y,n,Contact Form,https://www.cafecorbel.com/,02/15/20,Dan,Lincoln Park,Dough Dough,CS,,,,y,,y,y,y,,,,
Cafe El Meson,,,,,,,Brighton Park,,,,,,,,,,,,,,
Cafe El Tapatio,,,Unlisted,https://www.cafeeltapatio.com/,,,,,,,,,,,,,,,,,
Cafe Iberico,y,,Contact Form,https://www.cafeiberico.com/,02/21/20,Dan,,,CS/FS,,,,,,,,,,,,
Cafe Istanbul,y,,Contact Form,http://www.mycafeistanbul.com/,02/15/20,Dan,,,,,,,,,,,,,,,
Cafe Lucci,y,,Contact Form,http://cafelucci.com/,02/15/20,Dan,Glenview,Bobby's,FS,,,,,,,,,,,,
Cafe Luigi,,,Unlisted,http://www.cafeluigipizza.com/,,,,,CS,,,,,,,,,,,,
Café Marie-Jeanne,,,Unlisted,http://www.cafe-marie-jeanne.com/,,,,,FS,,,,,,,,,,,,
Café Orchid,,,Unlisted,http://www.cafeorchid.com/,,,,,FS,,,,,,,,,(773) 327-3808,,,
Cafe Press,,,,,,,,Vaughan Hospitality,,,,,,,,,,,,,
Cafe Robey,,,Unlisted,https://www.caferobey.com/,,,,,FS,,,,,,,,,,,,
Cafe Selmarie,y,,Contact Form,http://cafeselmarie.com/,02/15/20,Dan,Uptown,,CS/FS,,,,,,,,,,,,
Cafe Spiaggia,y,,Contact Form,https://spiaggiarestaurant.com/about/cafe-spiaggia-story,02/20/20,Dan,,,FS,,,,,,,,,,,,
Cafe Vienna,,,,,,,Lincoln Park,,CS,,,,,,,,,,,,
Cafecito,,,,,,,Steeterville,,,,,,,,,,,,,,
Caffe Baci,y,,mgr2n@caffebaci.com,http://www.caffebaci.com/,03/01/20,Jake,,,FS,Aniss,,,y,,,,,,,,
Caffe Bonne Sante,y,n,,,02/15/20,Dan,Lincoln Park,Dough Dough,CS,,,,,,y,y,y,,,,
Cai Restaurant,,,,,,,Chinatown,,,,,,,,,,,,,,
Cairo Kebab,y,,eat@cairokebab.com,https://cairokebab.com/,02/15/20,Dan,DePaul,,FS,,,,,,,,,,,,
California Pizza Kitchen,,,,https://www.cpk.com/location/details/Ohio-Street,,,,Chain,FS,,,,,,,,,,,,
